"COD_MUNICIPIO","cep.min","cep.max"
2301604,63140000,63144999
2301703,63360000,63379999
2301802,63320000,63339999
2301851,63960000,63969999
2301901,63090000,63099999
2301901,63180000,63184999
2301901,63090001,63096999
2301950,62795000,62799999
2302008,63380000,63399999
2302057,62410000,62419999
2302107,62760000,62761999
2302206,62840000,62849999
2302305,62570000,62579999
2302404,63870000,63899999
2302503,63260000,63269999
2302602,62400000,62409999
2302701,63150000,63154999
2302800,62700000,62719999
2302909,62748000,62749999
2303006,62730000,62735999
2303105,62184000,62189999
2303204,63220000,63229999
2303303,63530000,63539999
2303402,62375000,62379999
2303501,62850000,62859999
2303600,63595000,63599999
2303659,62297000,62299999
2303709,61600000,61699999
2303709,61600001,61676999
2303808,63400000,63429999
2303907,62420000,62429999
2303931,63950000,63959999
2303956,62875000,62879999
2304004,62160000,62169999
2304103,63700000,63739999
2304103,63700001,63709999
2304202,63100000,63139999
2304202,63100001,63135999
2304236,62390000,62399999
2304251,62595000,62597999
2304269,63645000,63649999
2304277,63470000,63474999
2304285,61760000,61799999
2304285,61760001,61779899
2304301,63185000,63189999
2304350,62115000,62119999
2304400,60000000,61599999
2304400,60000001,61599999
2304459,62815000,62819999
2304509,62340000,62349999
2304608,62738000,62739999
2304657,62365000,62369999
2304707,62430000,62449999
2304806,63230000,63239999
2304905,62190000,62199999
2304954,61890000,61899999
2305001,62380000,62389999
2305100,62766000,62769999
2305209,62270000,62279999
2305233,62880000,62899999
2305233,62880001,62896999
2305266,63970000,63999999
2305308,62360000,62364999
2305332,62955000,62959999
2305332,62955001,62955999
2305357,62810000,62814999
2305407,63430000,63459999
2305506,63500000,63514999
2305506,63500001,63514999
2305605,63640000,63644999
2305654,62215000,62219999
2305704,63340000,63359999
2305803,62250000,62254999
2305902,62230000,62249999
2306009,62980000,62989999
2306108,62620000,62629999
2306207,62820000,62822999
2306256,61880000,61889999
2306256,61880001,61889999
2306306,62600000,62609999
2306405,62500000,62529999
2306405,62500001,62509999
2306504,62740000,62747999
2306553,62590000,62594999
2306603,62720000,62729999
2306702,63480000,63489999
2306801,63490000,63499999
2306900,63475000,63479999
2307007,62823000,62839999
2307106,63290000,63299999
2307205,63275000,63279999
2307254,62598000,62599999
2307304,63000000,63089999
2307304,63000001,63079999
2307403,63580000,63589999
2307502,63300000,63309999
2307601,62930000,62939999
2307601,62930001,62937999
2307635,63860000,63869999
2307650,61900000,61939999
2307650,61900001,61939999
2307700,61940000,61999999
2307700,61940001,61949999
2307809,62560000,62569999
2307908,62450000,62459999
2308005,62140000,62149999
2308104,63210000,63219999
2308203,62130000,62139999
2308302,63250000,63259999
2308351,63635000,63639999
2308377,62530000,62539999
2308401,63200000,63209999
2308500,63610000,63619999
2308609,63780000,63799999
2308708,62940000,62954999
2308708,62940001,62947999
2308807,62480000,62499999
2308906,62550000,62559999
2309003,62170000,62179999
2309102,62764000,62765999
2309201,63165000,63169999
2309300,62200000,62209999
2309409,63740000,63749999
2309458,62755000,62759999
2309508,63520000,63529999
2309607,62870000,62874999
2309706,61800000,61879999
2309706,61800001,61814999
2309805,62770000,62779999
2309904,62180000,62183999
2310001,62910000,62919999
2310100,62780000,62784999
2310209,62680000,62684999
2310258,62685000,62689999
2310308,63680000,63699999
2310407,62736000,62737999
2310506,63630000,63634999
2310506,63630001,63630999
2310506,63631001,63631999
2310506,63632001,63632999
2310506,63633001,63633999
2310605,63280000,63289999
2310704,62640000,62649999
2310803,63460000,63469999
2310852,62860000,62869999
2310902,63605000,63609999
2310951,62255000,62259999
2311009,62220000,62229999
2311108,63270000,63274999
2311207,63160000,63164999
2311231,62990000,62999999
2311264,63650000,63659999
2311306,63900000,63949999
2311306,63900001,63909999
2311355,63515000,63519999
2311405,63800000,63859999
2311504,62920000,62929999
2311603,62790000,62794999
2311702,62260000,62264999
2311801,62900000,62909999
2311801,62900001,62906999
2311900,63590000,63594999
2311959,63155000,63159999
2312205,62280000,62296999
2312007,62150000,62159999
2312106,63190000,63194999
2312304,62370000,62374999
2312403,62670000,62679999
2312502,62965000,62969999
2312601,62665000,62669999
2312700,63600000,63604999
2312809,62470000,62479999
2312908,62000000,62114999
2312908,62000001,62099999
2313005,63620000,63629999
2313104,62960000,62964999
2313104,62960001,62963999
2313203,63750000,63779999
2313252,63145000,63149999
2313302,63660000,63669999
2313351,62610000,62619999
2313401,62320000,62339999
2313401,62320001,62329999
2313500,62690000,62699999
2313559,62655000,62659999
2313609,62350000,62359999
2313708,63310000,63319999
2313757,62660000,62664999
2313807,62650000,62654999
2313906,62460000,62469999
2313955,62265000,62269999
2314003,63540000,63559999
2314102,62300000,62319999
5300108,70000000,72799999
5300108,73000000,73699999
5300108,70000001,72799999
5300108,73000001,73699999
3200102,29600000,29614999
3200169,29820000,29829999
3200136,29795000,29799999
3200201,29500000,29539999
3200300,29240000,29254999
3200359,29760000,29769999
3200409,29230000,29239999
3200508,29450000,29459999
3200508,29450001,29451999
3200607,29190000,29199999
3200607,29190001,29199999
3200706,29490000,29499999
3200805,29730000,29744999
3200904,29800000,29819999
3201001,29845000,29849999
3201100,29460000,29469999
3201100,29460001,29462999
3201159,29630000,29639999
3201209,29300000,29329999
3201209,29300001,29320999
3201308,29140000,29159999
3201308,29140001,29159999
3201407,29360000,29369999
3201506,29700000,29719999
3201506,29700001,29714999
3201605,29960000,29969999
3201704,29370000,29374999
3201803,29590000,29599999
3201902,29260000,29279999
3202009,29580000,29589999
3202108,29850000,29879999
3202207,29185000,29189999
3202256,29720000,29724999
3202306,29560000,29579999
3202405,29200000,29229999
3202405,29200001,29227999
3202454,29395000,29397999
3202504,29670000,29679999
3202553,29540000,29549999
3202603,29280000,29284999
3202652,29398000,29399999
3202652,29398001,29398999
3202652,29399001,29399979
3202702,29690000,29699999
3202801,29330000,29344999
3202900,29620000,29629999
3203007,29387000,29394999
3203007,29387001,29387999
3203007,29388001,29388999
3203007,29389001,29389999
3203007,29390001,29390999
3203007,29391001,29391999
3203007,29392001,29392999
3203056,29950000,29959999
3203106,29550000,29559999
3203130,29680000,29689999
3203163,29615000,29619999
3203205,29900000,29919999
3203205,29900001,29918999
3203304,29770000,29779999
3203320,29345000,29349999
3203346,29255000,29259999
3203353,29725000,29729999
3203403,29400000,29449999
3203502,29890000,29899999
3203601,29880000,29884999
3203700,29380000,29386999
3203809,29480000,29489999
3203908,29830000,29842999
3204005,29750000,29759999
3204054,29970000,29979999
3204104,29980000,29999999
3204203,29285000,29289999
3204252,29885000,29889999
3204302,29350000,29359999
3204351,29920000,29926999
3204401,29290000,29294999
3204500,29640000,29644999
3204559,29645000,29649999
3204559,29645001,29648999
3204609,29650000,29664999
3204609,29650001,29651999
3204609,29652001,29653999
3204609,29654001,29655999
3204609,29656001,29656999
3204658,29745000,29749999
3204708,29780000,29784999
3204807,29470000,29479999
3204906,29930000,29949999
3204906,29930001,29949999
3204955,29665000,29669999
3204955,29665001,29666999
3204955,29667001,29668999
3205002,29160000,29184999
3205002,29160001,29184999
3205010,29927000,29929999
3205010,29927001,29929999
3205036,29295000,29299999
3205069,29375000,29379999
3205101,29130000,29139999
3205101,29130001,29138999
3205150,29843000,29844999
3205176,29785000,29794999
3205200,29100000,29129999
3205200,29100001,29129999
3205309,29000000,29099999
3205309,29000001,29099999
5200050,75320000,75329999
5200050,75320001,75328999
5200100,72940000,72959999
5200100,72940001,72943999
5200134,75960000,75969999
5200134,75960001,75964499
5200159,76155000,76159999
5200159,76155001,76158999
5200175,73780000,73789999
5200209,75665000,75666999
5200209,75665001,75666999
5200258,72910000,72929999
5200258,72910001,72929999
5200308,72930000,72939999
5200506,75615000,75619999
5200506,75615001,75617999
5200555,76560000,76569999
5200605,73770000,73779999
5200803,73950000,73969999
5200829,76493000,76494999
5200852,76165000,76169999
5200902,76140000,76144999
5201108,75000000,75159999
5201108,75000001,75149999
5201207,75770000,75779999
5201306,76170000,76179999
5201405,74900000,74999999
5201405,74900001,74999999
5201454,75827000,75827999
5201504,75825000,75826999
5201603,75410000,75419999
5201702,76240000,76244999
5201702,76240001,76243999
5201801,75330000,75339999
5202155,76720000,76729999
5202155,76720001,76724999
5202353,76235000,76239999
5202353,76235001,76238999
5202502,76710000,76719999
5202601,76120000,76124999
5202809,75395000,75395999
5203104,76250000,76254999
5203203,76390000,76392999
5203302,75240000,75244999
5203401,76245000,76249999
5203401,76245001,76248999
5203500,75570000,75579999
5203559,75195000,75199999
5203559,75195001,75198999
5203575,76570000,76579999
5203609,75440000,75449999
5203807,76280000,76284999
5203807,76280001,76283999
5203906,75660000,75664999
5203939,76152000,76154999
5203962,73975000,73979999
5204003,73870000,73889999
5204003,73870001,73873999
5204102,75870000,75874999
5204201,76125000,76129999
5204250,75560000,75569999
5204250,75560001,75563999
5204300,75813000,75814999
5204409,75850000,75854999
5204508,75680000,75699999
5204508,75680001,75698999
5204557,75245000,75249999
5204557,75245001,75248999
5204607,75396000,75397999
5204656,76440000,76449999
5204706,76410000,76419999
5204706,76410001,76414499
5204805,75795000,75799999
5204854,75160000,75164999
5204904,73840000,73849999
5204953,76515000,76519999
5205000,76340000,76342999
5205059,75925000,75929999
5205109,75700000,75714999
5205109,75700001,75713999
5205208,75430000,75439999
5205208,75430001,75433999
5205307,73790000,73794999
5205406,76300000,76303999
5205406,76300001,76303999
5205455,76195000,76199999
