uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
MA,Araguanã,65368-000,65369-999,Não codificada por logradouros,Total do município
MA,Araioses,65570-000,65577-999,Não codificada por logradouros,Total do município
MA,Arame,65945-000,65947-999,Não codificada por logradouros,Total do município
MA,Arari,65480-000,65484-999,Não codificada por logradouros,Total do município
MA,Axixá,65148-000,65149-999,Não codificada por logradouros,Total do município
MA,Bacabal,65700-000,65703-999,Não codificada por logradouros,Total do município
MA,Bacabeira,65143-000,65144-999,Não codificada por logradouros,Total do município
MA,Bacuri,65270-000,65271-999,Não codificada por logradouros,Total do município
MA,Bacurituba,65233-000,65234-999,Não codificada por logradouros,Total do município
MA,Balsas,65800-000,65804-999,Não codificada por logradouros,Total do município
MA,Barão de Grajaú,65660-000,65664-999,Não codificada por logradouros,Total do município
MA,Barra do Corda,65950-000,65961-999,Não codificada por logradouros,Total do município
MA,Barreirinhas,65590-000,65599-999,Não codificada por logradouros,Total do município
MA,Bela Vista do Maranhão,65335-000,65339-999,Não codificada por logradouros,Total do município
MA,Belágua,65535-000,65539-999,Não codificada por logradouros,Total do município
MA,Benedito Leite,65885-000,65887-999,Não codificada por logradouros,Total do município
MA,Bequimão,65248-000,65249-999,Não codificada por logradouros,Total do município
MA,Bernardo do Mearim,65723-000,65724-999,Não codificada por logradouros,Total do município
MA,Boa Vista do Gurupi,65292-000,65292-999,Não codificada por logradouros,Total do município
MA,Bom Jardim,65380-000,65384-999,Não codificada por logradouros,Total do município
MA,Bom Jesus das Selvas,65395-000,65397-999,Não codificada por logradouros,Total do município
MA,Bom Lugar,65704-000,65704-999,Não codificada por logradouros,Total do município
MA,Brejo,65520-000,65524-999,Não codificada por logradouros,Total do município
MA,Brejo de Areia,65315-000,65319-999,Não codificada por logradouros,Total do município
MA,Buriti,65515-000,65519-999,Não codificada por logradouros,Total do município
MA,Buriti Bravo,65685-000,65689-999,Não codificada por logradouros,Total do município
MA,Buriticupu,65393-000,65394-999,Não codificada por logradouros,Total do município
MA,Buritirana,65935-500,65935-899,Não codificada por logradouros,Total do município
MA,Buritirana,65935-959,65935-959,Não codificada por logradouros,Total do município
MA,Buritirana,65935-971,65935-971,Não codificada por logradouros,Total do município
MA,Cachoeira Grande,65165-000,65169-999,Não codificada por logradouros,Total do município
MA,Cajapió,65230-000,65232-999,Não codificada por logradouros,Total do município
MA,Cajari,65210-000,65212-999,Não codificada por logradouros,Total do município
MA,Campestre do Maranhão,65968-000,65969-999,Não codificada por logradouros,Total do município
MA,Cândido Mendes,65280-000,65282-999,Não codificada por logradouros,Total do município
MA,Cantanhede,65465-000,65467-999,Não codificada por logradouros,Total do município
MA,Capinzal do Norte,65735-000,65739-999,Não codificada por logradouros,Total do município
MA,Carolina,65980-000,65989-999,Não codificada por logradouros,Total do município
MA,Carutapera,65295-000,65298-999,Não codificada por logradouros,Total do município
MA,Caxias,65600-000,65609-999,Codificado por logradouros,Total do município
MA,Caxias,65600-001,65609-999,Codificada por logradouros,Exclusiva da sede urbana
MA,Cedral,65260-000,65262-999,Não codificada por logradouros,Total do município
MA,Central do Maranhão,65267-000,65267-999,Não codificada por logradouros,Total do município
MA,Centro do Guilherme,65288-000,65288-999,Não codificada por logradouros,Total do município
MA,Centro Novo do Maranhão,65299-000,65299-999,Não codificada por logradouros,Total do município
MA,Chapadinha,65500-000,65504-999,Não codificada por logradouros,Total do município
MA,Cidelândia,65921-000,65921-999,Não codificada por logradouros,Total do município
MA,Codó,65400-000,65412-999,Não codificada por logradouros,Total do município
MA,Coelho Neto,65620-000,65624-999,Não codificada por logradouros,Total do município
MA,Colinas,65690-000,65692-999,Não codificada por logradouros,Total do município
MA,Conceição do Lago-Açu,65340-000,65344-999,Não codificada por logradouros,Total do município
MA,Coroatá,65415-000,65417-999,Não codificada por logradouros,Total do município
MA,Cururupu,65268-000,65268-999,Não codificada por logradouros,Total do município
MA,Davinópolis,65927-000,65927-999,Não codificada por logradouros,Total do município
MA,Dom Pedro,65765-000,65767-999,Não codificada por logradouros,Total do município
MA,Duque Bacelar,65625-000,65629-999,Não codificada por logradouros,Total do município
MA,Esperantinópolis,65750-000,65752-999,Não codificada por logradouros,Total do município
MA,Estreito,65975-000,65977-999,Não codificada por logradouros,Total do município
MA,Feira Nova do Maranhão,65995-000,65999-999,Não codificada por logradouros,Total do município
MA,Fernando Falcão,65964-000,65967-999,Não codificada por logradouros,Total do município
MA,Formosa da Serra Negra,65943-000,65944-999,Não codificada por logradouros,Total do município
MA,Fortaleza dos Nogueiras,65805-000,65807-999,Não codificada por logradouros,Total do município
MA,Fortuna,65695-000,65699-999,Não codificada por logradouros,Total do município
MA,Godofredo Viana,65285-000,65287-999,Não codificada por logradouros,Total do município
